tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
27.450000000000003,10.099999999999998,540.95,2151,708,1309,311,1309,88,0,12.978776375185376,1,0.49999999999999994,0.8660254037844387,-18.24699173640235,-55.11620920170411,0.6819000000000001,2015,2
22.4,11.8,384.4,2676,529,1555,170,1555,101,0,14.010937463711704,1,0.49999999999999994,0.8660254037844387,-33.877677680082016,-54.68501786532674,0.7536,2015,2
26.300000000000004,8.8,505.3000000000001,1057,148,731,333,731,81,0,12.075794210271646,1,0.49999999999999994,0.8660254037844387,-1.4664622290496823,-70.5312994771951,0.4531,2015,0
25.950000000000003,8.7,494.4500000000001,2482,1306,1191,88,1400,70,209,12.785464666908549,1,0.49999999999999994,0.8660254037844387,-14.833393656748157,-49.762250108351765,0.7692,2015,2
5.95,12.500000000000002,0.0,3096,3,62,7,1516,70,1436,13.427634022530134,1,0.49999999999999994,0.8660254037844387,-25.613177066182416,-68.55500585213215,0.0475,2015,2
27.950000000000003,9.5,556.45,2352,99,237,24,1628,159,1392,12.292172185842091,1,0.49999999999999994,0.8660254037844387,-5.634645147364267,-40.38383854214396,0.36760000000000004,2015,1
26.4,8.8,508.4,1253,330,781,396,781,50,0,12.146460924952326,1,0.49999999999999994,0.8660254037844387,-2.8319014609113538,-67.58482534528308,0.859,2015,2
28.1,11.0,561.1,2120,992,1096,79,1299,136,203,11.821169244235358,1,0.49999999999999994,0.8660254037844387,3.456305527925295,-75.09474112052227,0.7049000000000001,2015,2
28.800000000000004,9.000000000000004,582.8000000000002,2226,1082,1442,206,1442,114,0,13.056230727457196,1,0.49999999999999994,0.8660254037844387,-19.576498356899236,-57.2003006608614,0.6687000000000001,2015,2
26.700000000000003,9.0,517.7,1899,2470,1135,153,1135,71,0,12.213572433464753,1,0.49999999999999994,0.8660254037844387,-4.125475470043469,-45.98932591504979,0.6389,2015,0
23.150000000000002,11.5,407.6500000000001,1670,754,815,56,982,70,167,11.847251475587333,1,0.49999999999999994,0.8660254037844387,2.9532489688183574,-64.42275554518235,0.7847000000000001,2015,0
27.45,10.899999999999999,540.9499999999999,2015,745,1126,99,1233,100,107,11.8788890320543,1,0.49999999999999994,0.8660254037844387,2.3423945756170923,-64.78208165883017,0.8943000000000001,2015,2
25.15,9.3,469.65,1626,3370,939,311,939,46,0,12.348577687712659,1,0.49999999999999994,0.8660254037844387,-6.712623488307685,-47.318832535546676,0.7374,2015,2
25.3,9.399999999999999,474.3,1747,2685,1029,288,1029,66,0,12.428008389911579,1,0.49999999999999994,0.8660254037844387,-8.221793165628483,-47.39069775827622,0.6737000000000001,2015,2
26.800000000000004,9.8,520.8000000000002,1088,2682,786,327,786,70,0,12.653138262750746,1,0.49999999999999994,0.8660254037844387,-12.42590869530784,-65.60853172022013,0.7707,2015,2
23.700000000000003,10.400000000000002,424.7000000000001,1463,988,938,139,938,77,0,12.183720467229827,1,0.49999999999999994,0.8660254037844387,-3.550553688206975,-78.54427181154124,0.7961,2015,0
26.0,8.599999999999998,496.0,1040,896,661,399,661,39,0,12.256567809568413,1,0.49999999999999994,0.8660254037844387,-4.951925531433432,-67.69262317937742,0.7208,2015,0
27.200000000000003,8.599999999999998,533.2,1370,1043,849,186,849,62,0,12.081368662010247,1,0.49999999999999994,0.8660254037844387,-1.574260063144024,-61.907472749647695,0.8541000000000001,2015,2
26.400000000000002,10.600000000000001,508.4000000000001,2975,335,219,13,1656,102,1437,12.908729191127543,1,0.49999999999999994,0.8660254037844387,-17.02528294999979,-40.56350159896786,0.63,2015,1
26.150000000000002,9.899999999999999,500.6500000000001,2073,3002,1229,220,1229,96,0,12.454624303974958,1,0.49999999999999994,0.8660254037844387,-8.72484972473542,-45.80966285822586,0.6431,2015,2
26.950000000000003,7.5,525.45,1925,2009,1139,159,1139,65,0,12.101813945132253,1,0.49999999999999994,0.8660254037844387,-1.9695187881566198,-54.5772200312324,0.7799,2015,1
