tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
6.5,4.199999999999999,0.0,163,335,119,152,119,6,0,7.680294467978512,1,0.49999999999999994,0.8660254037844387,54.12128755226631,-131.68860402005214,0.6644,2015,2
24.950000000000003,10.099999999999998,463.4500000000001,1961,1853,1141,161,1141,78,0,11.247642415655731,1,0.49999999999999994,0.8660254037844387,14.236088937359554,-84.54501790945965,0.8633000000000001,2015,2
-18.400000000000002,9.600000000000001,0.0,187,292,0,24,0,2,0,6.443617529424296,1,0.49999999999999994,0.8660254037844387,59.76270753653691,-114.44095056495732,0.0351,2015,0
-31.700000000000003,8.8,0.0,91,338,0,6,0,0,0,4.785847553713996,1,0.49999999999999994,0.8660254037844387,64.43394701395842,-97.1932971098625,-0.0713,2015,0
-23.1,12.399999999999999,0.0,438,249,0,102,0,4,0,7.925396004009039,1,0.49999999999999994,0.8660254037844387,52.683983097675075,-62.48239453148419,0.0926,2015,0
-29.050000000000004,6.300000000000001,0.0,223,100,0,6,0,0,0,6.209194987590035,1,0.49999999999999994,0.8660254037844387,60.589157597926864,-73.5496388318367,-0.033800000000000004,2015,0
25.950000000000003,5.5,494.4500000000001,2043,127,517,48,1284,91,767,11.032879778490267,1,0.49999999999999994,0.8660254037844387,18.04494574202633,-63.129181536050254,0.5770000000000001,2015,2
1.5499999999999998,13.9,0.0,960,152,158,27,249,27,0,9.70698972440463,1,0.49999999999999994,0.8660254037844387,37.34075804491365,-97.48075800078075,0.40840000000000004,2015,0
-4.050000000000001,12.100000000000001,0.0,750,647,0,15,0,10,0,9.275729778193048,1,0.49999999999999994,0.8660254037844387,42.01199752233516,-97.37296016668641,0.2536,2015,0
23.3,14.800000000000002,412.3,1607,733,710,45,953,95,243,10.91542814567519,1,0.49999999999999994,0.8660254037844387,20.05717197845405,-88.85693127323334,0.8584,2015,2
2.3000000000000003,13.8,0.0,997,18,189,20,430,37,168,9.818554799142154,1,0.49999999999999994,0.8660254037844387,36.011251424416756,-99.74451251676194,0.26940000000000003,2015,0
-22.450000000000003,7.099999999999998,0.0,65,74,0,27,0,0,0,4.266751184043783,1,0.49999999999999994,0.8660254037844387,65.44006013217228,-134.9584716542472,-0.048400000000000006,2015,0
-25.95,12.899999999999999,0.0,429,272,0,99,0,1,0,7.848060127481137,1,0.49999999999999994,0.8660254037844387,53.15110704541723,-64.42275554518235,0.0325,2015,0
-5.800000000000001,9.600000000000001,0.0,565,708,0,176,0,10,0,9.031913383029154,1,0.49999999999999994,0.8660254037844387,44.34761726104592,-64.92581210428929,0.5215000000000001,2015,0
6.9,12.0,0.0,1077,1083,527,86,527,48,0,9.923113620510797,1,0.49999999999999994,0.8660254037844387,34.71767741528465,-77.75375436151606,0.5774,2015,0
-24.6,8.799999999999997,0.0,117,223,0,17,0,0,0,5.481063868410919,1,0.49999999999999994,0.8660254037844387,62.7810468911785,-110.63209376029054,-0.094,2015,0
-27.85,9.299999999999997,0.0,400,193,0,41,0,0,0,7.467643134535767,1,0.49999999999999994,0.8660254037844387,55.2711311159393,-72.18419959997503,0.006200000000000001,2015,0
-19.25,8.700000000000001,0.0,131,319,0,22,0,3,0,5.872985021876748,1,0.49999999999999994,0.8660254037844387,61.66713593887029,-114.4768831763221,-0.0692,2015,1
-11.9,13.400000000000002,0.0,663,409,0,61,0,11,0,8.972421922156082,1,0.49999999999999994,0.8660254037844387,44.88660643151763,-70.85469297947813,0.1655,2015,0
-26.900000000000002,5.0,0.0,142,310,0,29,0,2,0,5.677053929058715,1,0.49999999999999994,0.8660254037844387,62.24205772070678,-66.65057744979877,-0.055400000000000005,2015,0
-3.1,9.600000000000001,0.0,721,1115,0,57,0,16,0,9.476422055745061,1,0.49999999999999994,0.8660254037844387,39.92790606317787,-81.85007205710107,0.41590000000000005,2015,0
5.6,3.8,0.0,139,272,128,296,129,7,0,7.76231935115239,1,0.49999999999999994,0.8660254037844387,53.65416360452416,-130.28723217682568,0.7919,2015,2
-9.4,16.599999999999998,0.0,936,220,0,47,0,1,0,9.565118588754121,1,0.49999999999999994,0.8660254037844387,38.95772555632879,-106.85916956698856,0.046,2015,0
12.55,12.899999999999999,79.05000000000003,1783,1026,423,1,902,73,479,10.955627148599325,1,0.49999999999999994,0.8660254037844387,19.374452362523215,-101.3255474168123,0.6895,2015,0
-11.0,12.600000000000001,0.0,680,457,0,59,0,10,0,8.976428604621866,1,0.49999999999999994,0.8660254037844387,44.85067382015285,-72.6153909363524,0.24500000000000002,2015,0
-22.35,9.100000000000001,0.0,30,359,0,1,0,3,0,2.5818790297963194,1,0.49999999999999994,0.8660254037844387,67.6678820367887,-146.81623340462488,-0.124,2015,0
-13.600000000000001,6.799999999999999,0.0,93,220,0,9,0,6,0,5.1534641344741345,1,0.49999999999999994,0.8660254037844387,63.607496952568454,-160.97368228234853,-0.0274,2015,0
9.4,15.400000000000002,0.0,1374,32,343,36,875,74,533,10.647385056428428,1,0.49999999999999994,0.8660254037844387,24.44095056495732,-100.96622130316449,0.3037,2015,0
4.05,9.9,0.0,893,987,384,49,394,28,0,9.90020066853107,1,0.49999999999999994,0.8660254037844387,35.005138306202895,-90.36610095055414,0.3543,2015,1
1.85,12.3,0.0,1058,1058,239,89,329,33,0,9.859664865875514,1,0.49999999999999994,0.8660254037844387,35.508194865309825,-82.24533078211367,0.5206000000000001,2015,0
-17.650000000000002,7.100000000000001,0.0,68,260,0,10,0,0,0,4.424638984673442,1,0.49999999999999994,0.8660254037844387,65.15259924125404,-159.96756916413466,0.023200000000000002,2015,0
-26.8,5.600000000000001,0.0,118,100,0,171,0,3,0,4.326965675351495,1,0.49999999999999994,0.8660254037844387,65.33226229807794,-46.528315085521484,-0.0629,2015,0
23.200000000000003,11.599999999999998,409.2000000000001,1656,2900,903,99,903,70,0,11.030808937609368,1,0.49999999999999994,0.8660254037844387,18.0808783533911,-89.07252694142203,0.8456,2015,1
-19.5,8.400000000000002,0.0,139,279,0,28,0,0,0,6.068094568407434,1,0.49999999999999994,0.8660254037844387,61.056281545669016,-118.7887965400958,0.018000000000000002,2015,0
-8.25,5.9,0.0,132,646,0,181,0,0,0,6.741780141165598,1,0.49999999999999994,0.8660254037844387,58.61286397286392,-134.09608898149244,-0.0337,2015,1
6.800000000000001,11.600000000000001,0.0,1051,1062,528,94,528,45,0,9.897323882056538,1,0.49999999999999994,0.8660254037844387,35.04107091756767,-77.17883257967956,0.5878,2015,0
